Training:   1%|          | 44/3906.0 [08:50<11:18:52, 10.55s/update, return=74.64, step=1.13e+7]
Training:   1%|          | 45/3906.0 [08:56<11:18:42, 10.55s/update, return=69.89, step=1.15e+7]
Training:   1%|          | 46/3906.0 [09:06<11:17:35, 10.53s/update, return=69.89, step=1.15e+7]
Training:   1%|          | 46/3906.0 [09:06<11:17:35, 10.53s/update, return=87.92, step=1.18e+7]
Training:   1%|          | 47/3906.0 [09:17<11:17:24, 10.53s/update, return=84.02, step=1.2e+7] 
Training:   1%|          | 47/3906.0 [09:20<11:17:24, 10.53s/update, return=84.02, step=1.2e+7]
Training:   1%|          | 48/3906.0 [09:27<11:17:14, 10.53s/update, return=82.57, step=1.23e+7]
Training:   1%|▏         | 49/3906.0 [09:38<11:16:25, 10.52s/update, return=82.57, step=1.23e+7]
Training:   1%|▏         | 49/3906.0 [09:38<11:16:25, 10.52s/update, return=82.96, step=1.25e+7]
Training:   1%|▏         | 50/3906.0 [09:48<11:16:15, 10.52s/update, return=106.34, step=1.28e+7]
Training:   1%|▏         | 50/3906.0 [09:50<11:16:15, 10.52s/update, return=106.34, step=1.28e+7]
Training:   1%|▏         | 51/3906.0 [09:59<11:16:04, 10.52s/update, return=102.03, step=1.31e+7]
Training:   1%|▏         | 52/3906.0 [10:09<11:15:34, 10.52s/update, return=102.03, step=1.31e+7]
Training:   1%|▏         | 52/3906.0 [10:09<11:15:34, 10.52s/update, return=98.77, step=1.33e+7] 
Training:   1%|▏         | 52/3906.0 [10:20<11:15:34, 10.52s/update, return=98.77, step=1.33e+7]
Training:   1%|▏         | 53/3906.0 [10:20<11:15:23, 10.52s/update, return=100.66, step=1.36e+7]
Training:   1%|▏         | 54/3906.0 [10:30<11:15:13, 10.52s/update, return=117.56, step=1.38e+7]
Training:   1%|▏         | 55/3906.0 [10:41<11:14:49, 10.51s/update, return=117.56, step=1.38e+7]
Training:   1%|▏         | 55/3906.0 [10:41<11:14:49, 10.51s/update, return=111.84, step=1.41e+7]
Training:   1%|▏         | 56/3906.0 [10:51<11:14:39, 10.51s/update, return=111.26, step=1.43e+7]
Training:   1%|▏         | 56/3906.0 [11:00<11:14:39, 10.51s/update, return=111.26, step=1.43e+7]
Training:   1%|▏         | 57/3906.0 [11:02<11:14:28, 10.51s/update, return=111.20, step=1.46e+7]
Training:   1%|▏         | 58/3906.0 [11:12<11:14:10, 10.51s/update, return=111.20, step=1.46e+7]
Training:   1%|▏         | 58/3906.0 [11:12<11:14:10, 10.51s/update, return=119.81, step=1.48e+7]
Training:   2%|▏         | 59/3906.0 [11:23<11:13:59, 10.51s/update, return=118.66, step=1.51e+7]
Training:   2%|▏         | 59/3906.0 [11:30<11:13:59, 10.51s/update, return=118.66, step=1.51e+7]
Training:   2%|▏         | 60/3906.0 [11:33<11:13:49, 10.51s/update, return=114.54, step=1.54e+7]
Training:   2%|▏         | 61/3906.0 [11:44<11:13:31, 10.51s/update, return=114.54, step=1.54e+7]
Training:   2%|▏         | 61/3906.0 [11:44<11:13:31, 10.51s/update, return=129.01, step=1.56e+7]
Training:   2%|▏         | 62/3906.0 [11:54<11:13:21, 10.51s/update, return=125.20, step=1.59e+7]
Training:   2%|▏         | 62/3906.0 [12:00<11:13:21, 10.51s/update, return=125.20, step=1.59e+7]
